127.0.0.1 - - [20/Feb/2025:10:12:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/board/main.do HTTP/1.1" 200 91615
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B0%80%ED%8F%89_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/image/plan_and_go_logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B0%95%EB%A6%89_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B1%B0%EC%A0%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B2%BD%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%84%EB%A3%A1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A0%EB%A0%B9_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A0%EC%84%B1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A0%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A0%EC%B0%BD_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A0%ED%9D%A5_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A1%EC%84%B1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%B5%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B4%91%EB%AA%85_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%BC%EC%B2%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B2%BD%EA%B8%B0%20%EA%B4%91%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B5%AC%EB%A6%AC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B5%B0%EC%82%B0_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B9%80%ED%8F%AC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%82%A8%ED%95%B4_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EB%82%A8%EC%9B%90_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [20/Feb/2025:10:12:27 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B9%80%ED%95%B4_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
